Date,Site ID,Division,Site Name,Purchase Capacity (Mbps),Delay(msec),Jitter(ms),Packet Loss(),Avg(out) mb/sbit/s,Avg(in) mb/sbit/s,Peak Throughput (Mbps) ,Utilization
18-Nov-18,JPSDR14,Mymensingh,Ghoradhap 32m Land,230,6,2 ,0,64.9609375,13.85058594,145.5849609,0.632978091
18-Nov-18,JPSSB02,Mymensingh,Simla Bazar,250,7,2 ,0,92.83984375,20.47363281,184.9042969,0.739617188
18-Nov-18,MYFLP04,Mymensingh,Bowla 25m land,220,6,2 ,0.0004,62.69238281,11.74609375,126.1962891,0.573619496
18-Nov-18,MYFLP05,Mymensingh,Chandhara Bazar 25m lan,260,6,2 ,0.0004,68.09570313,12.96582031,142.4453125,0.547866587
18-Nov-18,MYGFG03,Mymensingh,Kandipara bazar land,220,5,2 ,0,90.8828125,19.203125,155.8740234,0.708518288
18-Nov-18,MYISG02,Mymensingh,Ishwarganj 55m,350,5,2 ,0,125.3427734,29.20996094,247.84375,0.708125
18-Nov-18,MYNND02,Mymensingh,Musulli 55m,330,6.6106,1.5142 ,0,105.0957031,21.79199219,206.9238281,0.627041903
18-Nov-18,MYNND04,Mymensingh,Madarinagar land,250,5.9093,1.7840 ,0,107.7880859,26.4609375,200.0585938,0.800234375
18-Nov-18,MYSDR18,Mymensingh,Biddaganj Bazar 25m,280,6,2 ,0,35.14746094,7.146484375,69.42675781,0.247952706
18-Nov-18,MYTRL04,Mymensingh,Kashiganj Land,350,5.66,1.7401 ,0,161.3740234,36.84863281,302.9697266,0.86562779
18-Nov-18,NKATP01,Mymensingh,Atpara 55m,335,6,2 ,0,97.62304688,21.67089844,187.9990234,0.561191115
18-Nov-18,NKKND01,Mymensingh,Kendua,200,4.3669,1.0893 ,0,46.33789063,8.436523438,100.4277344,0.502138672
18-Nov-18,NKMDN01,Mymensingh,Madan,230,6.8939,1.5089 ,0,11.23632813,2.475585938,31.37890625,0.136430027
18-Nov-18,NKPBD01,Mymensingh,Jaria land 55m,390,6.0962,1.5969 ,0.000036,96.89453125,20.12890625,179.0869141,0.459197216
18-Nov-18,SRJNG02,Mymensingh,Jhinaigati land 55m,230,7,2 ,0,28.76855469,5.911132813,72.20898438,0.313952106
18-Nov-18,SRSDR07,Mymensingh,Kamarer Char 32m Land,260,6,2 ,0,72.609375,15.65234375,137.1816406,0.527621695
18-Nov-18,TNSDR56,Mymensingh,Gharinda_Tangail Sadar,100,3,2 ,0,23.00683594,3.654296875,54.76953125,0.547695313
19-Nov-18,JPDWG02,Mymensingh,Katharbill 25m Land,230,7,2 ,0,59.40820313,22.76855469,133.9521484,0.582400645
19-Nov-18,JPMLN03,Mymensingh,Hajrabari bazar,260,6,1 ,0,80.37988281,19.41992188,161.5205078,0.621232722
19-Nov-18,JPSDR04,Mymensingh,Nandina 55m land,450,7,2 ,0,79.98046875,16.89648438,149.3222656,0.331827257
19-Nov-18,JPSDR14,Mymensingh,Ghoradhap 32m Land,230,6,2 ,0,63.859375,13.57910156,142.2119141,0.61831267
19-Nov-18,JPSSB02,Mymensingh,Simla Bazar,250,7,2 ,0,97.89160156,20.55078125,183.6757813,0.734703125
19-Nov-18,MYFLP04,Mymensingh,Bowla 25m land,220,6,2 ,0.0004,62.4609375,11.37207031,129.2851563,0.587659801
19-Nov-18,MYFLP05,Mymensingh,Chandhara Bazar 25m lan,260,7,2 ,0.0004,74.79199219,13.47167969,165.3828125,0.63608774
19-Nov-18,MYGFG03,Mymensingh,Kandipara bazar land,220,4,2 ,0.0004,83.56835938,18.77832031,161.2841797,0.733109908
19-Nov-18,MYISG02,Mymensingh,Ishwarganj 55m,350,6,2 ,0,126.6445313,28.0078125,250.9707031,0.717059152
19-Nov-18,MYNND02,Mymensingh,Musulli 55m,330,6.6276,1.5262 ,0,94.63085938,22.2578125,209.0898438,0.633605587
19-Nov-18,MYNND04,Mymensingh,Madarinagar land,250,5.5777,1.6890 ,0,108.1425781,25.70410156,220.2529297,0.881011719
19-Nov-18,MYSDR18,Mymensingh,Biddaganj Bazar 25m,280,6,2 ,0,35.41210938,7.094726563,82.71289063,0.295403181
19-Nov-18,MYTRL04,Mymensingh,Kashiganj Land,350,5.5771,1.7282 ,0,168.8056641,36.62792969,303.4580078,0.867022879
19-Nov-18,NKATP01,Mymensingh,Atpara 55m,335,6,1 ,0,111.2734375,22.65429688,217.7460938,0.64998834
19-Nov-18,NKKND01,Mymensingh,Kendua,200,4.3499,1.0041 ,0,44.60351563,8.1328125,79.90722656,0.399536133
19-Nov-18,NKMDN01,Mymensingh,Madan,230,6.5082,1.6203 ,0,8.920898438,2.637695313,20.20117188,0.087831182
19-Nov-18,NKPBD01,Mymensingh,Jaria land 55m,390,6.1456,1.7113 ,0,107.1845703,22.87304688,215.8007813,0.553335337
19-Nov-18,SRJNG02,Mymensingh,Jhinaigati land 55m,230,7,2 ,0,34.04101563,6.2578125,86.15332031,0.374579654
19-Nov-18,SRSDR07,Mymensingh,Kamarer Char 32m Land,260,6,1 ,0,62.60742188,14.71484375,142.1845703,0.546863732
19-Nov-18,TNSDR56,Mymensingh,Gharinda_Tangail Sadar,100,3,1 ,0.0004,24.33789063,3.809570313,56.44628906,0.564462891
20-Nov-18,JPDWG02,Mymensingh,Katharbill 25m Land,230,7,2 ,0.0004,60.82617188,22.74414063,134.9189453,0.58660411
20-Nov-18,JPMLN03,Mymensingh,Hajrabari bazar,260,6,1 ,0,83.81054688,19.484375,158.7539063,0.610591947
20-Nov-18,JPSDR04,Mymensingh,Nandina 55m land,450,7,2 ,0,81.37890625,16.87011719,147.3427734,0.327428385
20-Nov-18,JPSDR14,Mymensingh,Ghoradhap 32m Land,230,6,2 ,0,65.64648438,14.06640625,138.2480469,0.601078465
20-Nov-18,JPSSB02,Mymensingh,Simla Bazar,250,7,2 ,0,95.85449219,20.52148438,188.375,0.7535
20-Nov-18,MYFLP04,Mymensingh,Bowla 25m land,220,6,2 ,0.0004,62.8359375,12.0078125,137.1826172,0.623557351
20-Nov-18,MYFLP05,Mymensingh,Chandhara Bazar 25m lan,260,6,2 ,0.0004,78.80078125,13.765625,150.2021484,0.577700571
20-Nov-18,MYGFG03,Mymensingh,Kandipara bazar land,220,5,2 ,0,81.22753906,18.60742188,138.6611328,0.630277876
20-Nov-18,MYISG02,Mymensingh,Ishwarganj 55m,350,6,2 ,0,131.8251953,28.47167969,252.6308594,0.721802455
20-Nov-18,MYNND02,Mymensingh,Musulli 55m,330,6.7221,1.5408 ,0.000037,108.5615234,22.44042969,215.3994141,0.652725497
20-Nov-18,MYNND04,Mymensingh,Madarinagar land,250,5.6114,1.6468 ,0,95.80859375,25.70410156,187.3378906,0.749351563
20-Nov-18,MYSDR18,Mymensingh,Biddaganj Bazar 25m,280,6,2 ,0,37.84179688,7.443359375,87.99023438,0.314250837
20-Nov-18,MYTRL04,Mymensingh,Kashiganj Land,350,5.4899,1.6244 ,0.000081,165.5927734,35.54589844,334.4716797,0.955633371
20-Nov-18,NKATP01,Mymensingh,Atpara 55m,335,6,2 ,0.0004,112.9248047,23.09960938,214.9179688,0.641546175
20-Nov-18,NKKND01,Mymensingh,Kendua,200,4.3822,1.0491 ,0,45.92382813,7.901367188,86.62890625,0.433144531
