Date,Open,High,Low,Close
9/12/2017,1101.004976,1209.428548,1064.233351,1207.112234
10/1/2017,1041.498831,1129.371488,986.8112826,1100.006099
10/2/2017,977.0588188,1153.189232,912.3053378,1040.233048
10/3/2017,774.511865,1006.565002,771.5616455,975.5076729
10/4/2017,730.4026733,786.7984575,718.1095175,774.534968
10/5/2017,737.7083778,749.2018589,719.792258,730.3675691
10/6/2017,751.6266433,754.2994398,726.5119083,737.8033977
10/7/2017,731.4728448,754.3032342,720.9888748,751.6189719
10/8/2017,730.3586842,737.9529034,692.1494381,731.5201187
10/9/2017,683.2058149,745.877766,683.2058149,730.3973648
10/10/2017,635.8871584,711.3935552,628.3349514,682.6423591
10/11/2017,626.4980303,650.721411,617.4020764,635.8358309
10/12/2017,611.554593,633.0614188,605.4244124,626.4107016
11/1/2017,584.1356471,613.815166,568.5963787,611.6071869
11/2/2017,634.8245874,637.1228035,560.3642419,583.7145969
11/3/2017,609.4205597,635.0766007,589.5519938,634.8541995
11/4/2017,638.3151808,646.846565,600.8360442,609.8178717
11/5/2017,659.1850479,659.9236835,625.0144612,638.2908464
11/6/2017,654.6242292,668.7695622,646.6162395,659.2979265
11/7/2017,642.917022,662.6991193,632.3560748,654.8119269
11/8/2017,636.154155,673.8342322,628.7494097,642.868967
11/9/2017,589.3786641,636.6403226,582.039131,636.1818487
11/10/2017,586.0217829,596.2477278,580.6287724,589.3556024
11/11/2017,589.7824802,590.4929569,577.1184317,586.011152
11/12/2017,568.6098655,593.7812451,564.5659932,589.6632225
12/1/2017,545.5785624,573.3394437,545.2455994,568.5673178
12/2/2017,559.6792289,560.3767023,537.8116512,545.797341
12/3/2017,573.5040389,574.6001452,549.7840561,559.6785011
12/4/2017,554.7929235,577.2884105,532.9984283,573.4791116
12/5/2017,591.9008341,594.7515654,552.4692462,554.8277571
12/6/2017,601.7970952,602.9179269,585.4286593,591.8433793
12/7/2017,596.5686842,606.7919226,584.4117141,601.9089924
12/8/2017,569.3476433,596.5954747,563.106647,596.5954747
12/9/2017,616.7228021,618.9831373,569.2834906,569.3541975
12/10/2017,598.4592028,622.4526704,588.3463738,616.7087549
12/11/2017,587.2615921,604.0224714,578.741015,598.3523422
12/12/2017,615.0703248,635.1605818,571.7539663,587.3241871
1/1/2018,575.7570844,615.240539,571.537753,614.842522
1/2/2018,538.2645864,576.6023973,531.9875371,575.7580479
1/3/2018,517.5973661,548.0448604,508.1253616,538.2298006
1/4/2018,519.1081,530.777145,497.2426239,517.4936877
1/5/2018,570.5149094,575.6415041,485.4973072,518.8011739
1/6/2018,603.9020606,605.0941682,559.6713867,570.6866162
1/7/2018,608.5227842,621.1734205,593.8351617,603.897746
1/8/2018,558.0595252,609.9876029,551.2652288,608.4540286
1/9/2018,549.4866253,579.372476,514.5171881,558.0680952
1/10/2018,509.7445841,550.2273891,504.2377502,549.4866209
1/11/2018,471.6314594,513.61034,471.6314594,509.7445733
1/12/2018,479.481021,480.1217226,465.7042495,471.6304197
2/1/2018,480.3468302,491.9999032,465.8309737,479.4840698
2/2/2018,464.4066512,482.2322184,460.7766234,480.3600826
2/3/2018,447.5589809,463.8310389,445.5016316,459.9403126
2/4/2018,460.1498892,460.994077,440.2543424,447.5590953
2/5/2018,474.6264218,475.1614271,452.9860796,460.1498367
2/6/2018,461.0054915,475.217253,457.2982565,474.6264209
2/7/2018,462.9595242,467.677837,452.0724172,461.0052711
2/8/2018,449.6796713,473.5788521,449.5249452,462.9605277
2/9/2018,444.1663887,453.75837,439.6001309,449.6796211
2/10/2018,453.5741561,457.3496084,435.1638861,444.1630571
2/11/2018,435.7188059,457.7804671,433.1537719,453.5547855
2/12/2018,454.7225519,465.6754702,428.4563527,435.7131351
3/1/2018,414.0667119,456.2006183,412.9823009,454.7192903
3/2/2018,402.1429398,417.5259287,397.2458279,414.0673382
3/3/2018,387.6032132,407.6656611,377.827612,402.1419984
3/4/2018,383.1560478,389.515394,371.3127382,387.6021733
3/5/2018,396.3559926,403.2407436,381.0176402,383.1567326
3/6/2018,386.5903379,397.1161341,385.1655136,396.3581869
3/7/2018,382.8200369,393.0101255,381.295271,386.5903353
3/8/2018,386.7302492,391.4647281,375.0924068,382.819992
3/9/2018,388.6510676,393.2276823,381.2887486,386.7301135
3/10/2018,403.9970889,408.9647384,381.1463185,388.6507707
3/11/2018,393.8881981,409.7728598,390.6084468,403.9970451
3/12/2018,406.2179857,411.2798721,383.7829006,393.8883131
4/1/2018,412.457631,417.1592056,405.3506589,406.2177613
4/2/2018,409.7672341,416.5996557,407.8517301,412.4576188
4/3/2018,414.051327,418.9599344,403.08203,409.7666916
4/4/2018,391.4886175,420.1416564,391.2763115,413.7729927
4/5/2018,369.059432,400.6272533,368.7279562,392.1899669
4/6/2018,379.7197004,380.7610032,367.6010615,369.1369149
4/7/2018,378.4696368,383.3176618,373.7022567,379.9356093
4/8/2018,368.727532,378.5976425,368.1291544,378.2136979
4/9/2018,366.0157136,369.7681337,364.4890241,368.8559404
4/10/2018,377.8685073,380.0215045,362.5974182,366.2290173
4/11/2018,379.1922248,381.2087856,371.354119,377.4418457
4/12/2018,381.9714539,387.2961704,374.1750102,379.4840379
5/1/2018,387.1429587,387.3756731,375.5824667,381.1907613
5/2/2018,374.7987447,395.1221485,366.6423415,387.7312655
5/3/2018,370.9284454,377.2467904,369.8280295,375.1420494
5/4/2018,365.4024635,378.2671544,365.3540417,370.9675882
