Date,Open,High,Low,Close,Adj Close,Volume
7/22/2021,104.40,104.48,101.60,101.60,101.52,5427875.00
7/23/2021,102.40,103.04,101.04,101.68,101.60,4722413.00
7/26/2021,101.28,103.52,101.04,103.36,103.28,6728613.00
7/27/2021,106.64,107.76,102.40,104.64,104.56,14930538.00
7/28/2021,105.20,107.84,104.32,105.04,104.96,8571038.00
7/29/2021,105.52,107.04,104.72,106.32,106.24,6784563.00
7/30/2021,105.28,105.76,103.36,103.60,103.52,7507838.00
8/2/2021,104.48,107.21,100.43,100.60,100.52,24885500.00
8/3/2021,100.20,103.20,98.11,103.06,102.98,14440000.00
8/4/2021,101.81,103.45,101.46,102.91,102.83,14144300.00
8/5/2021,103.00,104.64,102.52,103.02,102.94,8130800.00
8/6/2021,103.36,105.26,103.36,104.52,104.44,10984300.00
8/9/2021,103.56,104.27,102.03,103.71,103.63,7954700.00
8/10/2021,103.81,106.33,103.20,106.08,106.00,8056100.00
8/11/2021,106.21,106.21,103.82,106.04,105.96,8305100.00
8/12/2021,106.19,107.23,105.24,106.52,106.44,6398700.00
8/13/2021,106.50,106.62,104.58,104.92,104.84,5617100.00
8/16/2021,104.23,104.30,102.24,103.35,103.27,6916200.00
8/17/2021,102.54,103.27,100.36,101.62,101.54,8177400.00
8/18/2021,101.08,103.47,100.76,101.41,101.33,6496500.00
8/19/2021,100.00,100.82,98.60,99.42,99.34,10805700.00
8/20/2021,99.59,100.67,99.10,100.05,99.97,6355700.00
8/23/2021,100.60,101.48,100.27,100.97,100.89,6007400.00
8/24/2021,101.29,103.51,101.06,103.27,103.19,6857700.00
8/25/2021,103.36,105.13,102.55,104.70,104.62,7867100.00
8/26/2021,104.46,104.62,102.84,103.38,103.30,8166500.00
8/27/2021,103.90,106.15,103.90,106.09,106.01,7766400.00
8/30/2021,106.33,106.46,104.80,105.19,105.11,7145700.00
8/31/2021,104.94,106.36,104.46,105.41,105.33,10990800.00
9/1/2021,105.36,105.47,103.26,103.66,103.58,7968100.00
9/2/2021,104.00,106.34,103.98,106.26,106.18,8493700.00
9/3/2021,106.00,107.36,104.08,104.75,104.67,7616900.00
9/7/2021,104.50,104.94,102.31,103.29,103.21,10989500.00
9/8/2021,102.95,104.73,100.42,102.58,102.50,12001300.00
9/9/2021,102.36,104.92,102.11,103.29,103.21,9386500.00
9/10/2021,103.29,103.95,101.78,102.00,101.92,9555200.00
9/13/2021,102.65,104.86,102.02,104.46,104.38,12484200.00
9/14/2021,104.54,104.55,100.07,100.38,100.30,16022600.00
9/15/2021,100.79,102.47,100.69,102.16,102.08,8103700.00
9/16/2021,102.39,102.70,100.82,101.34,101.26,5981900.00
9/17/2021,101.15,101.86,100.13,100.47,100.39,10718000.00
9/20/2021,98.50,99.87,97.27,99.81,99.73,10103800.00
9/21/2021,99.90,99.99,96.21,96.82,96.74,15788600.00
9/22/2021,97.67,99.03,97.66,98.54,98.46,11216100.00
9/23/2021,99.53,104.08,99.52,102.96,102.88,11601100.00
9/24/2021,102.66,104.20,102.60,103.80,103.80,6559500.00
9/27/2021,104.55,106.33,104.39,105.35,105.35,8081500.00
9/28/2021,105.29,106.75,104.73,105.73,105.73,12551700.00
9/29/2021,106.00,107.00,105.31,106.28,106.28,7399200.00
9/30/2021,106.36,107.09,102.95,103.03,103.03,8944200.00
10/1/2021,104.18,106.39,103.67,105.82,105.82,8094500.00
